Nombre,Equipo,Liga,Fecha Nacimiento,Edad,Contrato Hasta,Lugar Nacimiento,Posicion,Valor Mercado,Agente,Proveedor
Anderson Arroyo,Burgos CF,2ª División,27/09/1999,25,30/06/2027,Quibdó,Lateral derecho,800000,Alinea,Proveedor no encontrado
Raúl Navarro,Burgos CF,2ª División,07/02/1994,30,30/06/2025,Sevilla,Lateral derecho,500000,Promoesport,Proveedor no encontrado
Miguel Atienza,Burgos CF,2ª División,27/05/1999,25,30/06/2026,Madrid,Mediocentro,1000000,RMD Sport Manager,Proveedor no encontrado
Kévin Appin,Burgos CF,2ª División,20/01/1998,26,30/06/2025,Marseille,Mediocentro,1000000,CANTERASPORT,Proveedor no encontrado
Iván Morante,Burgos CF,2ª División,15/01/2001,23,30/06/2026,León,Mediocentro,700000,Joseba Diaz,Proveedor no encontrado
David González,Burgos CF,2ª División,22/06/2002,22,30/06/2027,Burgos,Mediocentro,200000,Universal Twenty Two,Proveedor no encontrado
Iñigo Córdoba,Burgos CF,2ª División,13/03/1997,27,30/06/2025,Bilbao,Extremo izquierdo,1500000,Eugenio Botas ...,Proveedor no encontrado
Dani Ojeda,Burgos CF,2ª División,03/12/1994,29,30/06/2025,Las Palmas de Gran ...,Extremo izquierdo,1200000,YOU FIRST,Proveedor no encontrado
Borja Sánchez,Burgos CF,2ª División,26/02/1996,28,30/06/2025,Oviedo,Extremo izquierdo,1000000,Miembro de su familia,Proveedor no encontrado
Javi López,Burgos CF,2ª División,05/05/2001,23,30/06/2025,Barcelona,Extremo izquierdo,200000,CONTROL ORIENTADO,Proveedor no encontrado
Curro Sánchez,Burgos CF,2ª División,03/01/1996,28,30/06/2027,La Palma del Condado,Extremo derecho,2200000,Niagara Sur,Proveedor no encontrado
Álex Sancris,Burgos CF,2ª División,18/01/1997,27,30/06/2025,Madrid,Extremo derecho,1500000,MESAS SPORT,Nike
Thomas Rodríguez,Burgos CF,2ª División,05/04/1996,28,30/06/2025,Vitacura,Extremo derecho,200000,Impacto Deportivo,Proveedor no encontrado
Fer Niño,Burgos CF,2ª División,24/10/2000,23,30/06/2026,Rota,Delantero centro,2000000,YOU FIRST,Proveedor no encontrado
Edu Espiau,Burgos CF,2ª División,19/12/1994,29,30/06/2025,Las Palmas de Gran ...,Delantero centro,600000,Emartsoccer,Proveedor no encontrado
Andrés Fernández,Levante UD,2ª División,16/12/1986,37,30/06/2025,Alcantarilla,Portero,400000,Bahía Internacional,Proveedor no encontrado
Alfonso Pastor,Levante UD,2ª División,04/10/2000,24,30/06/2026,Bujalance,Portero,200000,Niagara Sur,Proveedor no encontrado
Adrián de la Fuente,Levante UD,2ª División,26/02/1999,25,30/06/2026,El Escorial,Defensa central,1000000,Gesport Espizua SL,Proveedor no encontrado
Unai Elgezabal,Levante UD,2ª División,25/04/1993,31,30/06/2025,Barakaldo,Defensa central,700000,MESAS SPORT,Proveedor no encontrado
Jorge Cabello,Levante UD,2ª División,25/04/2004,20,30/06/2028,Telde,Defensa central,700000,Emartsoccer,Proveedor no encontrado
Diego Pampín,Levante UD,2ª División,15/03/2000,24,30/06/2025,Oleiros,Lateral izquierdo,900000,Excellence Sport,Proveedor no encontrado
Marcos Navarro,Información no encontrada,Información no encontrada,30/05/2004,20,Información no encontrada,Ribarroja,Lateral izquierdo,100000,InterStarDeporte,Proveedor no encontrado
Andrés García,Levante UD,2ª División,07/02/2003,21,30/06/2027,València,Lateral derecho,900000,InterStarDeporte,Proveedor no encontrado
Xavi Grande,Levante UD,2ª División,28/01/2005,19,30/06/2028,Almàssera,Lateral derecho,200000,ABADSPORT,Proveedor no encontrado
Giorgi Kochorashvili,Levante UD,2ª División,29/06/1999,25,30/06/2027,Tiflis,Pivote,4000000,KHALENA SPORT,Proveedor no encontrado
Oriol Rey,Levante UD,2ª División,25/02/1998,26,30/06/2025,Barcelona,Pivote,1600000,Unique Sports Group,Proveedor no encontrado
Ángel Algobia,Levante UD,2ª División,23/06/1999,25,30/06/2025,Velilla de San ...,Pivote,800000,JONATHAN SÁNCHEZ,Proveedor no encontrado
Vicente Iborra,Levante UD,2ª División,16/01/1988,36,30/06/2025,Moncada,Pivote,300000,Wasserman,Proveedor no encontrado
Sergio Lozano,Levante UD,2ª División,24/03/1999,25,30/06/2026,Benimuslem,Mediocentro,1500000,InterStarDeporte,Proveedor no encontrado
Óscar Clemente,Levante UD,2ª División,26/03/1999,25,30/06/2026,Adeje,Mediocentro,600000,Media Base Sports,Proveedor no encontrado
Roger Brugué,Levante UD,2ª División,04/11/1996,27,30/06/2026,Bàscara,Extremo izquierdo,1500000,JV SPORTS,Proveedor no encontrado
Carlos Álvarez,Levante UD,2ª División,06/08/2003,21,30/06/2027,Sanlúcar la Mayor,Extremo derecho,2500000,Bahía Internacional,adidas
José Luis Morales,Levante UD,2ª División,23/07/1987,37,30/06/2025,Madrid,Delantero centro,1000000,ABADSPORT,Proveedor no encontrado
Iván Romero,Levante UD,2ª División,10/04/2001,23,30/06/2026,La Solana,Delantero centro,800000,33 Sport,Nike
Fabrício,Levante UD,2ª División,08/10/2000,24,30/06/2027,Cachoeira do Sul,Delantero centro,800000,ML3 Football,Proveedor no encontrado
Carlos Espí,Levante UD,2ª División,24/07/2005,19,30/06/2027,Tavernes de la ...,Delantero centro,300000,InterStarDeporte,Proveedor no encontrado
Salvi Carrasco,CD Tenerife,2ª División,25/06/2000,24,30/06/2026,Málaga,Portero,300000,Niagara Sur,Proveedor no encontrado
Tomeu Nadal,CD Tenerife,2ª División,08/02/1989,35,30/06/2025,Manacor,Portero,200000,MESAS SPORT,Proveedor no encontrado
Rubén Alves,CD Tenerife,2ª División,07/09/1994,30,30/06/2027,Río de Janeiro,Defensa central,800000,BestFoot FM,Proveedor no encontrado
José León,CD Tenerife,2ª División,03/02/1995,29,30/06/2026,Madrid,Defensa central,700000,Best of You,Proveedor no encontrado
José Amo,CD Tenerife,2ª División,09/04/1998,26,30/06/2026,Las Pajanosas,Defensa central,600000,Goal Management,Proveedor no encontrado
Juande Rivas,CD Tenerife,2ª División,07/07/1999,25,30/06/2027,Córdoba,Defensa central,400000,Best of You,Proveedor no encontrado
Josep Gayá,CD Tenerife,2ª División,07/07/2000,24,30/06/2025,Palma de Mallorca,Defensa central,300000,Wasserman,Proveedor no encontrado
Adrián Guerrero,CD Tenerife,2ª División,28/01/1998,26,30/06/2026,Blanes,Lateral izquierdo,600000,Footfeel ISM,Lotto
Fernando Medrano,CD Tenerife,2ª División,26/03/2000,24,30/06/2026,Madrid,Lateral izquierdo,500000,MRH Football Agency,Proveedor no encontrado
Jérémy Mellot,CD Tenerife,2ª División,28/03/1994,30,30/06/2027,Clermont-Ferrand,Lateral derecho,1200000,Global Compensation,Proveedor no encontrado
David Rodríguez,CD Tenerife,2ª División,26/06/2000,24,30/06/2026,Santa Cruz de ...,Lateral derecho,300000,Promoesport,Proveedor no encontrado
Yann Bodiger,CD Tenerife,2ª División,09/02/1995,29,30/06/2026,Sète,Pivote,800000,SMI SPORTS ...,Proveedor no encontrado
Sergio González,CD Tenerife,2ª División,14/05/1997,27,30/06/2026,Cartagena,Mediocentro,800000,Proeleven S.A.,Proveedor no encontrado
Yussi Diarra,CD Tenerife,2ª División,13/09/1998,26,30/06/2027,Bamako,Mediocentro,600000,Niagara Sur,Proveedor no encontrado
Aitor Sanz,CD Tenerife,2ª División,13/09/1984,40,30/06/2025,Madrid,Mediocentro,100000,Gesport Espizua SL,Proveedor no encontrado
Maikel Mesa,CD Tenerife,2ª División,04/06/1991,33,30/06/2027,Santa Cruz de ...,Mediocentro ofensivo,600000,YOU FIRST,Proveedor no encontrado
Alejandro Cantero,CD Tenerife,2ª División,08/06/2000,24,30/06/2026,Madrid,Extremo izquierdo,1200000,ABADSPORT,Proveedor no encontrado
Marlos Moreno,CD Tenerife,2ª División,20/09/1996,28,30/06/2026,Medellín,Extremo izquierdo,700000,Agente no encontrado,Nike
Waldo Rubio,CD Tenerife,2ª División,17/08/1995,29,30/06/2027,Badajoz,Extremo izquierdo,700000,Promoesport,Proveedor no encontrado
Álvaro Romero,CD Tenerife,2ª División,12/05/1996,28,30/06/2026,Sevilla,Extremo izquierdo,300000,CM Sports Agency,Proveedor no encontrado
Luismi Cruz,CD Tenerife,2ª División,23/05/2001,23,30/06/2027,El Puerto de Santa ...,Extremo derecho,1000000,YOU FIRST,adidas
Teto Martín,CD Tenerife,2ª División,13/09/2001,23,30/06/2027,Santa Cruz de ...,Extremo derecho,700000,Footfeel ISM,Proveedor no encontrado
Ángel Rodríguez,CD Tenerife,2ª División,26/04/1987,37,30/06/2025,Santa Cruz de ...,Delantero centro,300000,Emartsoccer,Proveedor no encontrado
Yanis Senhadji,CD Tenerife,2ª División,05/01/2005,19,30/06/2025,Sant Feliu de ...,Delantero centro,300000,Goal Management,Proveedor no encontrado
Enric Gallego,CD Tenerife,2ª División,12/09/1986,38,30/06/2025,Bon Pastor,Delantero centro,200000,MagicPlayers,Proveedor no encontrado
Raúl Lizoain,Albacete,2ª División,27/01/1991,33,30/06/2026,Las Palmas de Gran ...,Portero,300000,Agente no encontrado,Proveedor no encontrado
Cristian Rivero,Albacete,2ª División,21/03/1998,26,30/06/2025,Gandia,Portero,200000,WAKAI SPORTS,Proveedor no encontrado
Diego González,SD Huesca,2ª División,07/05/1999,25,30/06/2026,Villarreal,Defensa central,500000,Emartsoccer,Proveedor no encontrado
Juan Antonio Ros,Albacete,2ª División,15/03/1996,28,30/06/2025,Los Nietos,Defensa central,300000,JV SPORTS,Puma
Jon García,Albacete,2ª División,04/06/1991,33,30/06/2026,Bilbao,Defensa central,200000,SimaSport Soccer,Proveedor no encontrado
Lalo Aguilar,Albacete,2ª División,11/06/2002,22,30/06/2025,Madrid,Defensa central,100000,MESAS SPORT,Proveedor no encontrado
Juan María Alcedo,Albacete,2ª División,05/02/2001,23,30/06/2025,Rota,Lateral izquierdo,400000,Agente no encontrado,Proveedor no encontrado
Jaume Costa,Albacete,2ª División,18/03/1988,36,30/06/2025,Valencia,Lateral izquierdo,300000,Toldra Consulting ...,Proveedor no encontrado
Álvaro Rodríguez,Albacete,2ª División,22/07/1994,30,30/06/2026,Leganés,Lateral derecho,800000,MESAS SPORT,Proveedor no encontrado
Javi Rueda,Albacete,2ª División,08/05/2002,22,30/06/2025,Alozaina,Lateral derecho,400000,DCGLOBALSL,Proveedor no encontrado
Agus Medina,Albacete,2ª División,08/09/1994,30,30/06/2026,Barberà del Vallès,Mediocentro,1000000,Feel Winner,Proveedor no encontrado
Riki Rodríguez,Albacete,2ª División,25/09/1997,27,30/06/2026,Oviedo,Mediocentro,900000,Eugenio Botas ...,Proveedor no encontrado
Antonio Pacheco,Albacete,2ª División,03/01/2002,22,30/06/2027,Callosa de Segura,Mediocentro,600000,Wasserman,Proveedor no encontrado
Ale Meléndez,Albacete,2ª División,13/05/1999,25,30/06/2026,Sevilla,Mediocentro,400000,CAA Stellar,Proveedor no encontrado
Rai Marchán,Albacete,2ª División,11/08/1993,31,30/06/2025,Vilafranca del ...,Mediocentro,200000,MESAS SPORT,Proveedor no encontrado
Javi Villar,Albacete,2ª División,15/03/2003,21,30/06/2027,Murcia,Mediocentro,200000,Footfeel ISM,Proveedor no encontrado
José Carlos Lazo,Albacete,2ª División,16/02/1996,28,30/06/2026,Sanlúcar de ...,Extremo izquierdo,1500000,Niagara Sports ...,Proveedor no encontrado
Jon Morcillo,Albacete,2ª División,15/09/1998,26,30/06/2026,Amorebieta-Etxano,Extremo izquierdo,1000000,Football Promotions ...,Proveedor no encontrado
Fidel,Albacete,2ª División,27/10/1989,34,30/06/2025,Dehesa de Riotinto,Extremo izquierdo,600000,Wasserman,Proveedor no encontrado
Juanma García,Albacete,2ª División,20/02/1993,31,30/06/2025,San José de la ...,Extremo derecho,700000,Miembro de su familia,Proveedor no encontrado
Alberto Quiles,Albacete,2ª División,27/04/1995,29,30/06/2025,Huelva,Delantero centro,1200000,Eugenio Botas ...,Proveedor no encontrado
Higinio Marín,Albacete,2ª División,19/10/1993,31,30/06/2025,Calasparra,Delantero centro,1000000,Agente no encontrado,Proveedor no encontrado
Nabil Touaizi,Albacete,2ª División,01/02/2001,23,30/06/2026,Santomera,Delantero centro,200000,IGdreamsfootball,Proveedor no encontrado
Jesús Ruiz,Racing Ferrol,2ª División,20/01/1997,27,30/06/2025,Esplugues de ...,Portero,500000,LIAN Sports Group,Proveedor no encontrado
Emilio Bernad,Racing Ferrol,2ª División,22/09/1999,25,30/06/2025,La Vall d'Uixó,Portero,300000,JV SPORTS,Proveedor no encontrado
Yoel Rodríguez,Racing Ferrol,2ª División,28/08/1988,36,30/06/2025,Vigo,Portero,200000,YOU FIRST,Joma
Erick Cabaco,Racing Ferrol,2ª División,19/04/1995,29,30/06/2025,Montevideo,Defensa central,800000,InterStarDeporte,Proveedor no encontrado
Aleksa Puric,Racing Ferrol,2ª División,07/07/2003,21,30/06/2027,Šabac,Defensa central,500000,IGdreamsfootball,Proveedor no encontrado
David Castro,Racing Ferrol,2ª División,09/10/1995,29,30/06/2025,Cuntis,Defensa central,500000,Balance ...,Proveedor no encontrado
Naldo,Racing Ferrol,2ª División,25/08/1988,36,30/06/2025,Santo André,Defensa central,100000,ACE,Proveedor no encontrado
Brais Martínez,Racing Ferrol,2ª División,13/12/2001,22,30/06/2025,Vigo,Lateral izquierdo,500000,F.J.VILLAVERDE,Proveedor no encontrado
Moi Delgado,Racing Ferrol,2ª División,18/04/1994,30,30/06/2025,Sevilla,Lateral izquierdo,300000,ELITE INTERNACIONAL ...,Proveedor no encontrado
Julián Delmás,Racing Ferrol,2ª División,20/04/1995,29,30/06/2025,Zaragoza,Lateral derecho,600000,CAA Stellar,Proveedor no encontrado
Aitor Buñuel,Racing Ferrol,2ª División,10/02/1998,26,30/06/2025,Tafalla,Lateral derecho,600000,Footfeel ISM,Proveedor no encontrado
Rober Correa,Racing Ferrol,2ª División,20/09/1992,32,30/06/2025,Badajoz,Lateral derecho,400000,JV SPORTS,Proveedor no encontrado
Álvaro Sanz,Racing Ferrol,2ª División,14/02/2001,23,30/06/2025,Caspe,Pivote,800000,Wasserman,Proveedor no encontrado
Luis Perea,Racing Ferrol,2ª División,25/08/1997,27,30/06/2025,Alcalá de Henares,Pivote,600000,CAA Stellar,Proveedor no encontrado
Fran Manzanara,Racing Ferrol,2ª División,12/09/1996,28,30/06/2025,La Solana,Mediocentro,400000,InterStarDeporte,Proveedor no encontrado
Aitor Gelardo,Racing Ferrol,2ª División,26/06/2002,22,30/06/2025,Catral,Mediocentro,300000,CAA Stellar,Proveedor no encontrado
Álex López,Racing Ferrol,2ª División,11/01/1988,36,30/06/2025,Ferrol,Mediocentro,100000,Intermedia Sport ...,Proveedor no encontrado
Josep Señé,Racing Ferrol,2ª División,10/12/1991,32,30/06/2025,Sant Cugat del ...,Mediocentro ofensivo,400000,Intermedia Sport ...,Nike
Bebé,Racing Ferrol,2ª División,12/07/1990,34,30/06/2025,Lisboa,Extremo izquierdo,600000,JV SPORTS,Proveedor no encontrado
Josué Dorrio,Racing Ferrol,2ª División,03/03/1994,30,30/06/2025,Bilbao,Extremo derecho,800000,Emartsoccer,Proveedor no encontrado
Nacho Sánchez,Racing Ferrol,2ª División,11/02/1993,31,30/06/2025,Las Palmas de Gran ...,Extremo derecho,400000,Promoesport,Proveedor no encontrado
Manu Vallejo,Racing Ferrol,2ª División,14/02/1997,27,30/06/2025,Chiclana de la ...,Mediapunta,700000,YOU FIRST,Proveedor no encontrado
Eneko Jauregi,Racing Ferrol,2ª División,13/07/1996,28,30/06/2025,Muxika,Delantero centro,700000,EGGO Asesores ...,Proveedor no encontrado
Christian Borrego,Racing Ferrol,2ª División,05/10/1996,28,30/06/2025,Madrid,Delantero centro,500000,Emartsoccer,Proveedor no encontrado
Álvaro Giménez,Racing Ferrol,2ª División,19/05/1991,33,30/06/2025,Elche,Delantero centro,500000,JV SPORTS,Proveedor no encontrado
Juan Pérez,SD Huesca,2ª División,15/07/1996,28,30/06/2026,Almudévar,Portero,600000,Bahía Internacional,Proveedor no encontrado
Dani Jiménez,SD Huesca,2ª División,05/03/1990,34,30/06/2027,Lebrija,Portero,300000,Identity Sports,Proveedor no encontrado
Jorge Pulido,SD Huesca,2ª División,08/04/1991,33,30/06/2026,Talavera de la Reina,Defensa central,800000,YOU FIRST,Proveedor no encontrado
Jérémy Blasco,SD Huesca,2ª División,12/02/1999,25,30/06/2025,Bayonne,Defensa central,700000,NexSt11,Proveedor no encontrado
Rubén Pulido,SD Huesca,2ª División,02/09/2000,24,30/06/2025,Madrid,Defensa central,600000,YOU FIRST,Proveedor no encontrado
Ignasi Vilarrasa,SD Huesca,2ª División,23/08/1999,25,30/06/2025,Granollers,Lateral izquierdo,1000000,MSSports,Proveedor no encontrado
Jordi Martín,SD Huesca,2ª División,05/01/2001,23,30/06/2026,Madrid,Lateral izquierdo,800000,Antonio López ...,adidas
Miguel Loureiro,SD Huesca,2ª División,21/11/1996,27,30/06/2025,Cerceda,Lateral derecho,1000000,Eugenio Botas ...,Proveedor no encontrado
Toni Abad,SD Huesca,2ª División,03/11/1996,27,30/06/2026,Valencia,Lateral derecho,600000,Wasserman,Proveedor no encontrado
Óscar Sielva,SD Huesca,2ª División,06/08/1991,33,30/06/2026,Olot,Mediocentro,900000,IGdreamsfootball,Proveedor no encontrado
Javi Mier,SD Huesca,2ª División,04/02/1999,25,30/06/2025,Oviedo,Mediocentro,600000,Best of You,Proveedor no encontrado
Iker Kortajarena,SD Huesca,2ª División,21/06/2000,24,30/06/2025,Oiartzun,Mediocentro,600000,Agente no encontrado,Proveedor no encontrado
Javi Pérez,SD Huesca,2ª División,14/08/1995,29,30/06/2025,Cabanillas del Campo,Mediocentro,500000,JV SPORTS,Proveedor no encontrado
Javi Hernández,SD Huesca,2ª División,30/01/2004,20,30/06/2025,Barcelona,Mediocentro ofensivo,500000,CAA Base Ltd,Proveedor no encontrado
Hugo Vallejo,SD Huesca,2ª División,15/02/2000,24,30/06/2025,Granada,Extremo izquierdo,500000,CAA Stellar,Proveedor no encontrado
Joaquín Muñoz,SD Huesca,2ª División,10/03/1999,25,30/06/2025,Málaga,Extremo derecho,1000000,JV SPORTS,Nike
Gerard Valentín,SD Huesca,2ª División,28/07/1993,31,30/06/2026,Avinyonet de ...,Extremo derecho,900000,Promoesport,Proveedor no encontrado
Patrick Soko,SD Huesca,2ª División,31/10/1997,26,30/06/2025,Douala,Extremo derecho,700000,Sports&Life,Proveedor no encontrado
Iker Unzueta,SD Huesca,2ª División,04/08/1998,26,30/06/2026,Abadiño,Delantero centro,500000,Emartsoccer,Proveedor no encontrado
Sergi Enrich,SD Huesca,2ª División,26/02/1990,34,30/06/2025,Ciutadella de ...,Delantero centro,300000,Emartsoccer,Proveedor no encontrado
Dani Martín,CD Eldense,2ª División,08/07/1998,26,30/06/2025,Gijón,Portero,600000,Bahía Internacional,Proveedor no encontrado
Ian Mackay,CD Eldense,2ª División,14/07/1986,38,Contrato no encontrado,Lugar de nacimiento no encontrado,Portero,100000,Emartsoccer,Proveedor no encontrado
Dario Dumic,CD Eldense,2ª División,30/01/1992,32,30/06/2025,Sarajevo,Defensa central,500000,People In Sport,Proveedor no encontrado
Piña,CD Eldense,2ª División,30/10/1994,29,30/06/2025,Murchante (Navarra),Defensa central,300000,JV SPORTS,Proveedor no encontrado
Nacho Monsalve,CD Eldense,2ª División,27/04/1994,30,30/06/2025,Madrid,Defensa central,200000,MESAS SPORT,Proveedor no encontrado
Ricardo Grigore,CD Eldense,2ª División,07/04/1999,25,30/06/2025,Bukarest,Defensa central,200000,Nono lora,Proveedor no encontrado
Marc Mateu,CD Eldense,2ª División,16/06/1990,34,30/06/2025,Valencia,Lateral izquierdo,700000,Sports and ...,Proveedor no encontrado
Iván Martos,CD Eldense,2ª División,15/05/1997,27,30/06/2025,Manresa,Lateral izquierdo,400000,Agente no encontrado,Proveedor no encontrado
Víctor García,Málaga CF,2ª División,31/05/1994,30,30/06/2025,Requena,Lateral izquierdo,300000,Phsport,Proveedor no encontrado
Fran Gámez,CD Eldense,2ª División,27/07/1991,33,30/06/2026,Puerto de Sagunto,Lateral derecho,400000,PROTIO SPORT,Proveedor no encontrado
David Timor,CD Eldense,2ª División,17/10/1989,35,30/06/2025,Carcaixent,Pivote,400000,Pedro Bravo - ...,Proveedor no encontrado
Youness Lachhab,CD Eldense,2ª División,23/04/1999,25,30/06/2025,El Palmar,Pivote,200000,Identity Sports,Proveedor no encontrado
Sergio Ortuño,CD Eldense,2ª División,02/03/1999,25,30/06/2025,Elda,Mediocentro,1000000,#LEADERS,Proveedor no encontrado
Víctor Camarasa,CD Eldense,2ª División,28/05/1994,30,30/06/2025,Meliana,Mediocentro,800000,Promoesport,Proveedor no encontrado
Álex Bernal,CD Eldense,2ª División,03/03/1991,33,30/06/2025,Sevilla,Mediocentro,100000,Aclama,Proveedor no encontrado
Chico Geraldes,CD Eldense,2ª División,18/04/1995,29,30/06/2025,Lisboa,Mediocentro ofensivo,1500000,AXISFUT,adidas
Nacho Quintana,CD Eldense,2ª División,23/02/2001,23,30/06/2026,Seseña,Mediocentro ofensivo,400000,Antonio López ...,Proveedor no encontrado
Christian Montes,CD Eldense,2ª División,10/08/1997,27,30/06/2026,Santa Cruz de ...,Mediocentro ofensivo,400000,Balance ...,Proveedor no encontrado
Simo Bouzaidi,CD Eldense,2ª División,16/11/1999,24,30/06/2026,Olot,Extremo izquierdo,300000,Promoesport,Nike
Joel Jorquera,CD Eldense,2ª División,19/08/2000,24,30/06/2026,Castelldefels,Extremo izquierdo,200000,Identity Sports,Proveedor no encontrado
Ivan Chapela,CD Eldense,2ª División,21/05/1999,25,30/06/2025,Chiclana de la ...,Extremo derecho,1200000,JV SPORTS,Proveedor no encontrado
Unai Ropero,CD Eldense,2ª División,20/11/2001,22,30/06/2025,Vitoria-Gasteiz,Extremo derecho,500000,Joseba Diaz,Proveedor no encontrado
Juanto Ortuño,CD Eldense,2ª División,11/02/1992,32,30/06/2026,Yecla,Delantero centro,400000,José Vicente ...,Proveedor no encontrado
Alan Godoy,CD Eldense,2ª División,04/05/2003,21,30/06/2027,Las Palmas,Delantero centro,300000,Gesport Espizua SL,adidas
Sixtus Ogbuehi,CD Eldense,2ª División,15/03/2003,21,30/06/2027,Owerri,Delantero centro,100000,PINTEX SPORTS AGENCY,Proveedor no encontrado
Gonzalo Crettaz,CD Castellón,2ª División,28/02/2000,24,30/06/2025,Buenos Aires,Portero,700000,Agente no encontrado,Proveedor no encontrado
Amir Abedzadeh,CD Castellón,2ª División,26/04/1993,31,30/06/2025,Tehran,Portero,600000,Agente no encontrado,Proveedor no encontrado
Brian Schwake,CD Castellón,2ª División,24/08/2001,23,30/06/2025,"Mount Prospect, ...",Portero,200000,Nordic Sky,Proveedor no encontrado
Daijiro Chirino,CD Castellón,2ª División,24/01/2002,22,30/06/2028,Zwolle,Defensa central,600000,Joes Blakborn,Proveedor no encontrado
Óscar Gil,CD Castellón,2ª División,14/06/1995,29,30/06/2025,Peralta/Azkoien,Defensa central,300000,Be Loyal by Ginés ...,Proveedor no encontrado
Alberto Jiménez,CD Castellón,2ª División,15/11/1992,31,30/06/2026,La Oliva ...,Defensa central,200000,Agente no encontrado,Proveedor no encontrado
Jetro Willems,CD Castellón,2ª División,30/03/1994,30,30/06/2025,Willemstad,Lateral izquierdo,400000,H2 Agency,Nike
Salva Ruiz,CD Castellón,2ª División,17/05/1995,29,30/06/2026,Albal,Lateral izquierdo,400000,WAKAI SPORTS,Proveedor no encontrado
Jozhua Vertrouwd,CD Castellón,2ª División,21/08/2004,20,30/06/2026,Amsterdam,Lateral izquierdo,300000,Joes Blakborn,Proveedor no encontrado
Thomas van den Belt,CD Castellón,2ª División,18/06/2001,23,30/06/2025,Zwolle,Pivote,1800000,SeiSei Football,Proveedor no encontrado
Josep Calavera,CD Castellón,2ª División,02/10/1999,25,30/06/2025,Cabra del Camp,Mediocentro,500000,IGdreamsfootball,Proveedor no encontrado
Dani Villahermosa,CD Castellón,2ª División,02/01/2001,23,30/06/2025,Barcelona,Mediocentro,300000,YOU FIRST,Puma
Albert Lottin,CD Castellón,2ª División,29/08/2001,23,30/06/2027,Paris,Mediocentro,200000,PURE,Proveedor no encontrado
Mats Seuntjens,CD Castellón,2ª División,17/04/1992,32,30/06/2025,Breda,Mediocentro ofensivo,800000,HCM Sports ...,Proveedor no encontrado
Israel Suero,CD Castellón,2ª División,12/04/1994,30,30/06/2025,Madrid,Mediocentro ofensivo,200000,DLT Sports Group,Proveedor no encontrado
Sergio Moyita,CD Castellón,2ª División,11/09/1992,32,30/06/2025,Osuna (Sevilla),Mediocentro ofensivo,200000,MESAS SPORT,Proveedor no encontrado
Raúl Sánchez,CD Castellón,2ª División,08/11/1997,26,30/06/2027,Madrid,Extremo izquierdo,500000,Universal Sport,Proveedor no encontrado
Brian Cipenga,CD Castellón,2ª División,11/03/1998,26,30/06/2026,Kinshasa,Extremo izquierdo,500000,MadeinFootball,Proveedor no encontrado
Douglas Aurélio,CD Castellón,2ª División,27/03/1999,25,30/06/2025,Teófilo Otoni (MG),Extremo derecho,800000,Invictus Team,Proveedor no encontrado
Kenneth Mamah,CD Castellón,2ª División,05/05/1998,26,30/06/2027,Enugu,Extremo derecho,700000,CAA Base Ltd,Proveedor no encontrado
Álex Calatrava,CD Castellón,2ª División,22/06/2000,24,30/06/2028,Barcelona,Extremo derecho,400000,Universal Football,Proveedor no encontrado
Ousmane Camara,CD Castellón,2ª División,03/11/2001,22,30/06/2027,Conakry,Delantero centro,700000,Wasserman,Proveedor no encontrado
Jesús de Miguel,CD Castellón,2ª División,21/09/1996,28,30/06/2026,Madrid,Delantero centro,600000,Agente no encontrado,Proveedor no encontrado
David Flakus Bosilj,CD Castellón,2ª División,01/02/2002,22,30/06/2026,Maribor,Delantero centro,400000,AK10 STARS,Proveedor no encontrado
Pablo Cuñat,FC Cartagena,2ª División,28/04/2002,22,30/06/2025,València,Portero,800000,InterStarDeporte,Proveedor no encontrado
Toni Fuidias,FC Cartagena,2ª División,15/04/2001,23,30/06/2025,Berga,Portero,300000,Miembro de su familia,Proveedor no encontrado
Nikola Sipcic,FC Cartagena,2ª División,17/05/1995,29,30/06/2025,Priboj,Defensa central,600000,MIV GESTFUT,Proveedor no encontrado
Jorge Moreno,FC Cartagena,2ª División,25/07/2001,23,30/06/2025,Madrid,Defensa central,500000,RGFOOTBALL,Proveedor no encontrado
Pedro Alcalá,FC Cartagena,2ª División,19/03/1989,35,30/06/2026,Mazarrón,Defensa central,300000,JV SPORTS,Proveedor no encontrado
Gonzalo Verdú,FC Cartagena,2ª División,21/10/1988,35,30/06/2025,Cartagena,Defensa central,200000,RGFOOTBALL,Proveedor no encontrado
Kiko Olivas,FC Cartagena,2ª División,21/08/1988,36,30/06/2025,Antequera,Defensa central,200000,YOU FIRST,Proveedor no encontrado
Andrija Vukcevic,FC Cartagena,2ª División,11/10/1996,28,30/06/2025,Podgorica,Lateral izquierdo,1000000,Igor Gluscevic,Proveedor no encontrado
José Ríos Reina,FC Cartagena,2ª División,10/05/1990,34,30/06/2025,Sevilla,Lateral izquierdo,200000,Football Promotions ...,Proveedor no encontrado
Martín Aguirregabiria,FC Cartagena,2ª División,10/05/1996,28,30/06/2025,Vitoria,Lateral derecho,1200000,Football Promotions ...,Proveedor no encontrado
Damián Musto,FC Cartagena,2ª División,09/06/1987,37,30/06/2025,Casilda,Pivote,100000,Proyecta Players,Proveedor no encontrado
Luis Muñoz,FC Cartagena,2ª División,23/02/1997,27,30/06/2025,Málaga,Mediocentro,1200000,Miembro de su familia,Proveedor no encontrado
