Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posición,Selección,Partidos Internacionales,Goles,Valor Mercado,Última Revisión,Pie,Agente,Proveedor
Pablo García,Real Sporting,2ª División,01/07/2020,30/06/2025,05/06/2000 (24),Gijón,España,"1,78 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Izquierdo,Balance ...,Proveedor no encontrado
Guille Rosas,Real Sporting,2ª División,01/02/2021,30/06/2025,17/05/2000 (24),Gijón,España,"1,75 m",Lateral derecho,Selección no encontrada,2,0,"1,50 mill. €",14/10/2024,Derecho,Promoesport,Proveedor no encontrado
Kevin Vázquez,Real Sporting,2ª División,28/08/2024,30/06/2025,23/03/1993 (31),Nigrán,España,"1,75 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,800 mil €,07/06/2024,Derecho,F.J.VILLAVERDE,adidas
Nacho Méndez,Real Sporting,2ª División,Fecha de fichaje no encontrada,Contrato no encontrado,30/03/1998 (26),Lugar de nacimiento no encontrado,España,"1,78 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,50 mill. €",24/06/2024,Izquierdo,YOU FIRST,adidas
Jesús Bernal,Real Sporting,2ª División,01/07/2024,30/06/2027,25/12/1996 (27),Zaragoza,España,"1,82 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,20 mill. €",24/06/2024,Derecho,MG,Proveedor no encontrado
Nacho Martín,Real Sporting,2ª División,01/01/2023,30/06/2027,19/03/2002 (22),Oviedo,España,"1,75 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,24/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Lander Olaetxea,Real Sporting,2ª División,10/07/2024,30/06/2025,12/04/1993 (31),Abadiño,España,"1,79 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,Emartsoccer,Proveedor no encontrado
César Gelabert,Real Sporting,2ª División,21/08/2024,30/06/2025,31/10/2000 (23),Palencia,España,"1,82 m",Mediocentro ofensivo,Selección no encontrada,0,0,"1,50 mill. €",03/06/2024,Derecho,CAA Stellar,Proveedor no encontrado
Gaspar Campos,Real Sporting,2ª División,01/07/2020,30/06/2028,27/03/2000 (24),Gijón,España,"1,75 m",Extremo izquierdo,Selección no encontrada,3,0,"2,50 mill. €",24/06/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Jonathan Dubasin,Real Sporting,2ª División,26/07/2024,30/06/2025,02/02/2000 (24),La Seu d'Urgell,España,"1,81 m",Extremo izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"1,50 mill. €",24/06/2024,Derecho,Promoesport,Proveedor no encontrado
