Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posicion,Seleccion,Partidos Internacionales,Goles,Valor Mercado,Ultima Revision,Pie,Agente,Proveedor
Jude Soonsup-Bell,Córdoba CF,2ª División,22/08/2024,30/06/2026,10/01/2004 (20),Chippenham,Inglaterra,"1,82 m",Delantero centro,Selección no encontrada,2,1,200 mil €,14/10/2024,Derecho,Footwork,Nike
Luis López,CD Mirandés,2ª División,25/07/2023,30/06/2025,08/05/2001 (23),Murcia,España,"1,93 m",Portero,Selección no encontrada,2,0,300 mil €,24/06/2024,Izquierdo,Best of You,adidas
Raúl Fernández,CD Mirandés,2ª División,13/07/2024,30/06/2025,13/03/1988 (36),Bilbao,España,"1,95 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,07/06/2024,Derecho,Pedro Bravo - ...,Proveedor no encontrado
Tachi,CD Mirandés,2ª División,04/08/2023,30/06/2025,10/09/1997 (27),Fuenlabrada,España,"1,84 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,Antonio López ...,Proveedor no encontrado
Pablo Tomeo,CD Mirandés,2ª División,01/07/2023,30/06/2025,23/01/2000 (24),Alloza,España,"1,86 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Derecho,Wasserman,Proveedor no encontrado
Sergio Postigo,CD Mirandés,2ª División,17/07/2024,30/06/2025,04/11/1988 (35),Madrid,España,"1,84 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,24/06/2024,Derecho,MESAS SPORT,adidas
Juan Gutiérrez,CD Mirandés,2ª División,05/07/2024,30/06/2025,28/01/2000 (24),Comillas,España,"1,88 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,400 mil €,14/10/2024,Derecho,Antonio López ...,Proveedor no encontrado
Unai Egiluz,CD Mirandés,2ª División,29/08/2024,30/06/2025,19/03/2002 (22),Durango,España,"1,86 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,100 mil €,24/06/2024,Derecho,Global Ases,Proveedor no encontrado
Julio Alonso,CD Mirandés,2ª División,02/08/2024,30/06/2025,14/12/1998 (25),Terrassa,España,"1,70 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Izquierdo,EMG Mundial,Proveedor no encontrado
Victor Parada,CD Mirandés,2ª División,11/08/2024,30/06/2025,04/04/2002 (22),Madrid,España,"1,85 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,24/06/2024,Izquierdo,CAA Base Ltd,Proveedor no encontrado
Hugo Rincón,CD Mirandés,2ª División,11/08/2024,30/06/2025,27/01/2003 (21),Valtierra,España,"1,83 m",Lateral derecho,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Derecho,LEADERBROCK,Proveedor no encontrado
Jon Gorrotxategi,CD Mirandés,2ª División,09/08/2024,30/06/2025,02/02/2002 (22),Eibar,España,"1,77 m",Pivote,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,14/10/2024,Derecho,Global Ases,Proveedor no encontrado
Mathis Lachuer,CD Mirandés,2ª División,18/08/2023,30/06/2025,31/08/2000 (24),Amiens,Francia,"1,85 m",Pivote,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,14/10/2024,Izquierdo,CANTERASPORT,Proveedor no encontrado
Santiago Homenchenko,CD Mirandés,2ª División,13/08/2024,30/06/2025,30/08/2003 (21),Mercedes,Uruguay,"1,86 m",Pivote,Uruguay S23,5,1,500 mil €,24/06/2024,Izquierdo,1930 S&L,Puma
Alberto Reina,CD Mirandés,2ª División,01/07/2023,30/06/2025,19/11/1997 (26),Chiclana de la ...,España,"1,79 m",Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,600 mil €,24/06/2024,Derecho,RR-Soccer ...,Proveedor no encontrado
Aboubacar Bassinga,CD Mirandés,2ª División,30/08/2024,30/06/2025,13/07/2005 (19),Lugar de nacimiento no encontrado,Costa de Marfil,Altura no encontrada,Mediocentro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,100 mil €,14/10/2024,Pie no encontrado,Gesport Espizua SL,Proveedor no encontrado
Joel Roca,CD Mirandés,2ª División,20/08/2024,30/06/2025,07/06/2005 (19),Camprodón,España,"1,76 m",Extremo izquierdo,Selección no encontrada,7,1,200 mil €,14/10/2024,Derecho,Agente no encontrado,Proveedor no encontrado
